14 14 3 1 4 1 3 2 4 2
H H H H H H H H H H H H H H H H
H H H 0 0 H H H H H H 0 0 H H H 
H H * 0 0 H H H H H * 0 0 H H H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 H 0 0 0 0 0 0 0 H
H H H 0 0 H H H H H H 0 0 H H H 
H * * 0 0 H H H H * * 0 0 H H H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 H
H 0 0 0 0 0 0 0 0 0 0 0 0 0 H H
H H H H H H H H H H H H H H H H
